"target_names","target_group","targets","current_lower_bounds","current_upper_bounds","stopping_lower_bounds","stopping_upper_bounds"
"Pickhardt_pct_adeno_lt_6mm","Pickhardt",0.602888086642599,0.511062359465826,0.694713813819343,0.5344,0.6713
"Pickhardt_pct_adeno_6_to_lt10mm","Pickhardt",0.287003610108303,0.202109626638214,0.371897593578366,0.2237,0.35025
"Pickhardt_pct_adeno_10plusmm","Pickhardt",0.092057761732852,0.0378016229893631,0.146313900476324,0.0516,0.1325
"Corley_adeno_prev_male_50_54","Corley",0.25,0.210941056118842,0.354310101535862,0.2209,0.3437
"Corley_adeno_prev_male_55_59","Corley",0.29,0.243944379750003,0.411291993466936,0.2556,0.3989
"Corley_adeno_prev_male_60_64","Corley",0.31,0.26279576615754,0.43722381715335,0.2748,0.4246
"Corley_adeno_prev_male_65_69","Corley",0.34,0.280530326591562,0.487060106217374,0.2956,0.4713
"Corley_adeno_prev_male_70_74","Corley",0.39,0.31159058841891,0.567853577761789,0.3315,0.5474
"Corley_adeno_prev_male_75plus","Corley",0.38,0.294443645613473,0.563021969997963,0.3162,0.54058
"Corley_adeno_prev_fem_50_54","Corley",0.15,0.12209615115652,0.218001509942781,0.1292,0.2103
"Corley_adeno_prev_fem_55_59","Corley",0.18,0.146712246367555,0.261181237767854,0.1552,0.2520
"Corley_adeno_prev_fem_60_64","Corley",0.22,0.184902323630896,0.312831631740216,0.1938,0.3032
"Corley_adeno_prev_fem_65_69","Corley",0.24,0.193767247780931,0.349607458526786,0.2055,0.3370
"Corley_adeno_prev_fem_70_74","Corley",0.26,0.200263590775204,0.388786701759896,0.2154,0.3726
"Corley_adeno_prev_fem_75plus","Corley",0.26,0.190491730873494,0.399221120588859,0.2082,0.3803
"Church_pct_crc_6_to_lt10mm","Church",0.00239234449760766,0,0.05,0,0.0103
"Church_pct_crc_10plusmm","Church",0.0423387096774194,0.001,0.15,0.01,0.0721
"Lieberman_pct_crc_6_to_lt10mm","Lieberman",0.00251256281407035,0,0.02,0,0.01
"Lieberman_pct_crc_10plusmm","Lieberman",0.0328083989501312,0.001,0.1,0.0115,0.0668
"UKFSS_screen_det_crc_male","UKFSS",0.0046785905745894,0,1,0.00295,0.0063
"UKFSS_screen_det_crc_fem","UKFSS",0.00173654180104193,0,1,0.0007,0.00295
"SEER_inc_colon_fem_20_49","SEER",4.91265119333447e-05,0,1,0.00003,0.00007
"SEER_inc_colon_fem_50_59","SEER",0.000432760270979408,0,1,0.00032,0.00054
"SEER_inc_colon_fem_60_69","SEER",0.00101539061527221,0,1,0.00083,0.00120
"SEER_inc_colon_fem_70_84","SEER",0.00221511358237383,0,1,0.00191,0.00252
"SEER_inc_colon_fem_85_100","SEER",0.00308434115880168,0,1,0.00225,0.00392
"SEER_inc_colon_male_20_49","SEER",4.65050850186992e-05,0,1,0.00002,0.00007
"SEER_inc_colon_male_50_59","SEER",0.000459672068998199,0,1,0.00034,0.00058
"SEER_inc_colon_male_60_69","SEER",0.00122435202978948,0,1,0.00100,0.00145
"SEER_inc_colon_male_70_84","SEER",0.00274484098397184,0,1,0.00233,0.00316
"SEER_inc_colon_male_85_100","SEER",0.00399085429224693,0,1,0.00259,0.00539
"SEER_inc_rectal_fem_20_49","SEER",1.91401994545499e-05,0,1,0.000008,0.00004
"SEER_inc_rectal_fem_50_59","SEER",0.000204703039052811,0,1,0.00013,0.00028
"SEER_inc_rectal_fem_60_69","SEER",0.000429461833576491,0,1,0.00030,0.00055
"SEER_inc_rectal_fem_70_84","SEER",0.000751717516625335,0,1,0.00057,0.00093
"SEER_inc_rectal_fem_85_100","SEER",0.001051300292467,0,1,0.00056,0.00154
"SEER_inc_rectal_male_20_49","SEER",2.32294056511313e-05,0,1,0.00001,0.00004
"SEER_inc_rectal_male_50_59","SEER",0.000299118566960478,0,1,0.00020,0.00039
"SEER_inc_rectal_male_60_69","SEER",0.000716428310895045,0,1,0.00055,0.00089
"SEER_inc_rectal_male_70_84","SEER",0.0012980017263423,0,1,0.00101,0.00159
"SEER_inc_rectal_male_85_100","SEER",0.0016489988221437,0,1,0.00074,0.00255
